,st_time,t10s,t20m
167,2016-01-01 02:47:38,4,2
168,2016-01-01 02:48:38,1,2
169,2016-01-01 02:49:38,2,2
170,2016-01-01 02:50:38,5,2
171,2016-01-01 02:51:38,1,2
172,2016-01-01 02:52:38,2,2
173,2016-01-01 02:53:38,1,2
174,2016-01-01 02:54:38,1,2
175,2016-01-01 02:55:38,3,2
176,2016-01-01 02:56:38,2,2
177,2016-01-01 02:57:39,2,2
178,2016-01-01 02:58:39,2,2
179,2016-01-01 02:59:39,2,2
180,2016-01-01 03:00:39,5,2
181,2016-01-01 03:01:39,2,2
182,2016-01-01 03:02:39,1,2
183,2016-01-01 03:03:39,2,2
184,2016-01-01 03:04:39,2,2
185,2016-01-01 03:05:39,4,2
186,2016-01-01 03:06:38,1,2
187,2016-01-01 03:07:38,2,2
188,2016-01-01 03:08:38,2,2
189,2016-01-01 03:09:38,2,2
190,2016-01-01 03:10:38,3,2
191,2016-01-01 03:11:38,1,2
192,2016-01-01 03:12:38,2,2
193,2016-01-01 03:13:38,2,2
194,2016-01-01 03:14:39,2,2
195,2016-01-01 03:15:38,4,2
196,2016-01-01 03:16:38,2,2
197,2016-01-01 03:17:38,2,2
198,2016-01-01 03:18:38,1,2
199,2016-01-01 03:19:38,2,2
200,2016-01-01 03:20:38,5,2
201,2016-01-01 03:21:38,2,2
202,2016-01-01 03:22:38,2,2
203,2016-01-01 03:23:38,1,2
204,2016-01-01 03:24:38,1,2
205,2016-01-01 03:25:38,5,2
206,2016-01-01 03:26:38,1,2
207,2016-01-01 03:27:38,1,2
208,2016-01-01 03:28:38,2,2
209,2016-01-01 03:29:38,1,2
210,2016-01-01 03:30:38,9,2
211,2016-01-01 03:31:38,2,2
212,2016-01-01 03:32:38,1,2
213,2016-01-01 03:33:38,2,2
214,2016-01-01 03:34:38,2,2
215,2016-01-01 03:35:38,5,2
216,2016-01-01 03:36:38,1,2
217,2016-01-01 03:37:38,2,2
218,2016-01-01 03:38:38,2,2
219,2016-01-01 03:39:38,1,2
220,2016-01-01 03:40:38,5,2
221,2016-01-01 03:41:38,1,2
222,2016-01-01 03:42:38,2,2
223,2016-01-01 03:43:38,2,2
224,2016-01-01 03:44:38,2,2
225,2016-01-01 03:45:38,5,2
226,2016-01-01 03:46:38,2,2
227,2016-01-01 03:47:38,3,2
228,2016-01-01 03:48:38,2,2
229,2016-01-01 03:49:38,2,2
230,2016-01-01 03:50:38,6,2
231,2016-01-01 03:51:38,1,2
232,2016-01-01 03:52:38,2,2
233,2016-01-01 03:53:38,2,2
234,2016-01-01 03:54:38,2,2
235,2016-01-01 03:55:38,5,2
236,2016-01-01 03:56:38,2,2
237,2016-01-01 03:57:38,2,2
238,2016-01-01 03:58:38,2,2
239,2016-01-01 03:59:38,2,2
240,2016-01-01 04:01:19,2,2
241,2016-01-01 04:02:19,1,2
242,2016-01-01 04:03:19,1,2
243,2016-01-01 04:04:19,1,2
244,2016-01-01 04:05:18,1,2
245,2016-01-01 04:06:18,1,2
246,2016-01-01 04:07:18,2,2
247,2016-01-01 04:08:18,2,2
248,2016-01-01 04:09:18,2,2
249,2016-01-01 04:10:18,2,2
250,2016-01-01 04:11:18,1,2
